가게,商店,에 가다,명사,
가격,價格,이 비싸다,명사,
가구,傢俱,책상,명사,
가깝다,近,거리가,형용사,
가끔,有時候,가끔 보다,부사,
가늘다,纖細,손가락이,형용사,
가다,去,학교에,동사,
가득,滿,가득 담다,부사,
가르치다,教導,한국어를,동사,
가리키다,指出,손가락으로,동사,
가방,手袋,을 메다,명사,
가볍다,輕,짐이,형용사,
가수,歌手,직업,명사,
가슴,胸部,신체,명사,
가요,歌曲,를 부르다,명사,
가운데,中央,가운데 자리,명사,
가위,剪刀,로 자르다,명사,
가을,秋天,계절,명사,
가장,最,가장 빠르다,부사,
가져가다,帶走,집에,동사,
가져오다,拿來,학교로,동사,
가족,家庭,식구,명사,
가지,種,몇,의존명사,
가지다,擁有,돈을,동사,
각각,分別,각각 다르다,부사/명사,
간단하다,簡單,간단한 설명,형용사,
간단히,簡單地,간단히 끝내다,부사,
간식,點心,을 먹다,명사,
간장,醬油,을 넣다,명사,
간호사,護士,로 일하다,명사,
갈비,排骨,를 먹다,명사,
갈비탕,排骨湯,을 먹다,명사,
갈색,棕色,색깔,명사,
갈아입다,換衣服,옷을,동사,
갈아타다,換乘,기차를,동사,
감,柿子,과일,명사,
감기,感冒,에 걸리다,명사,
감기약,感冒藥,을 먹다,명사,
감다,閉,눈을,동사,
감다,洗,머리를,동사,
감사,感謝,감사 인사,명사,
감자,馬鈴薯,채소,명사,
갑자기,突然,갑자기 나타나다,부사,
값,價,을 깎다,명사,
강,江,을 건너다,명사,
강아지,小狗,를 키우다,명사,
강하다,強,힘이,형용사,
갖다,擁有,돈을,동사,
같다,相同,서로 같다,형용사,
같이,一起,같이 살다,부사,
갚다,償還,돈을,동사,
개,狗,동물,명사,
개,個,한 개,의존명사,
개월,個月,삼 개월,의존명사,
거,事,것,의존명사,
거기,那裡,거기에 있다,대명사,
거리,街道,로 나가다,명사,
거리,距離,가 가깝다,명사,
거실,客廳,집,명사,
거울,鏡子,을 보다,명사,
거의,幾乎,거의 없다,부사/명사,
거절,拒絕,을 하다,명사,
거짓말,謊言,을 하다,명사,
걱정,擔心,이 되다,명사,
건강,健康,이 나빠지다,명사,
건너가다,穿過,길을,동사,
건너다,橫越,길을,동사,
건너편,對面,으로 가다,명사,
건물,建築物,을 짓다,명사,
걷다,走,길을,동사,
걸다,掛,그림을,동사,
걸리다,掛,그림이,동사,
걸어가다,走路,학교에,동사,
걸어오다,走過來,집에,동사,
걸음,步伐,이 느리다,명사,
검사,檢查,숙제 검사,명사,
검은색,黑色,색깔,명사,
검정,黑色,색깔,명사,
것,東西,먹을 것,의존명사,
겉,外,안과 겉,명사,
게으르다,懶惰的,사람이,형용사,
게임,遊戲,컴퓨터 게임,명사,
겨울,冬天,계절,명사,
결과,結果,가 나오다,명사,
결석,缺席,을 하다,명사,
결심,決定,을 하다,명사,
결정,裁決,을 내리다,명사,
결혼,婚姻,을 하다,명사,
결혼식,婚禮,을 올리다,명사,
경기,比賽,를 보다,명사,
경찰,警察,경찰 조사(기관),명사,
경찰서,警察局,에 신고하다,명사,
경치,風景,가 좋다,명사,
경험,經驗,을 쌓다,명사,
계단,階梯,을 오르다,명사,
계란,蛋,을 먹다,명사,
계산,計算,이 정확하다,명사,
계속,持續,계속 달리다,부사/명사,
계시다,在/住,한국에,동사,
계절,季節,이 바뀌다,명사,
계획,計畫,을 세우다,명사,
고개,頭,를 들다,명사,
고기,肉,를 먹다,명사,
고등학교,高中,에 입학하다,명사,
고등학생,高中生,이 되다,명사,
고르다,選擇,선물을,동사,
고맙다,感激的,마음이,형용사,
고모,姑媽,친척,명사,
고민,煩惱,을 나누다,명사,
고속버스,客運巴士,를 타다,명사,
고양이,貓,를 기르다,명사,
고장,故障,이 나다,명사,
고추장,辣椒醬,을 넣다,명사,
고치다,修理,컴퓨터를,동사,
고프다,餓了,배가,형용사,
고향,故鄉,에 가다,명사,
곧,馬上,곧 가다,부사,
곳,地方,어느 곳,명사,
공,球,을 굴리다,명사,
공무원,公務員,으로 일하다,명사,
공부,學習,를 하다,명사,
공원,公園,에서 놀다,명사,
공장,工廠,에서 일하다,명사,
공짜,免費,로 주다,명사,
공책,筆記本,에 쓰다,명사,
공항,機場,공항 터미널,명사,
공휴일,公共假日,로 정하다,명사,
과거,過去,를 잊다,명사,
과일,水果,을 깎다,명사,
과자,點心,를 먹다,명사,
관계,關係,를 맺다,명사,
관광,觀光,국내 관광,명사,
관광객,觀光客,외국인 관광객,명사,
관광지,旅遊景點,국내 관광지,명사,
관심,興趣,을 가지다,명사,
광고,廣告,신문 광고,명사,
광주,光州,지명,명사,
괜찮다,不錯,성격이,형용사,
괴로워하다,受苦,통증으로,동사,
교과서,教科書,에서 배우다,명사,
교사,教師,수학 교사,명사,
교수,教授,대학 교수,명사,
교실,教室,에 들어가다,명사,
교육,教育,을 받다,명사,
교통,交通,교통 수단,명사,
교통비,交通費,가 들다,명사,
교통사고,交通事故,가 나다,명사,
교환,換,을 하다,명사,
교회,教堂,기독교,명사,
구,九,숫자,수사/관형사,
구경,觀光,을 다니다,명사,
구두,皮鞋,를 신다,명사,
구름,雲,이 끼다,명사,
구십,九十,구십 살,수사/관형사,
구월,九月,달(월),명사,
국,湯,을 끓이다,명사,
국내,國內,국내 여행,명사,
국수,麵條,를 먹다,명사,
국적,國籍,대한민국 국적,명사,
국제,國際,국제 관계,명사,
군인,士兵,직업 군인,명사,
굳다,硬,땅이,동사/형용사,
굵다,粗,손가락이,형용사,
굽다,烤,고기를,동사,
궁금하다,我很好奇,소식이,형용사,
권,冊,책 한 권,의존명사,
귀,耳,로 듣다,명사,
귀걸이,耳環,를  달다,명사,
귀여워하다,喜歡,강아지를,동사,
귀엽다,可愛,얼굴이,형용사,
귀찮다,麻煩,일이,형용사,
규칙,規則,을 어기다,명사,
귤,橘子,을 까다,명사,
그,他,그 사람,관형사/대명사,
그거,那個,그것,대명사,
그것,它,−,대명사,
그곳,那裡,에 가다,대명사,
그날,那天,그날 일,명사,
그냥,只是,그냥 가다,부사,
그대로,原樣,그대로 두다,부사,
그동안,這段時間,그동안 잘 지내다,명사,
그때,那時,그때 그시절,명사,
그래,對,대답,감탄사,
그래서,所以,−,부사,
그러나,但是,−,부사,
그러니까,所以,−,부사,
그러면,那麼,−,부사,
그러므로,因此,−,부사,
그런,那種,그런 사람,관형사,
그런데,但是,−,부사,
그럼,那麼,그러면,부사,
그럼,當然,"그럼, 당연하지",감탄사,
그렇다,是這樣子的,사정이,형용사,
그렇지만,但是,−,부사,
그릇,碗,에 담다,명사,
그리고,並且,−,부사,
그리다,畫,그림을,동사,
그림,圖畫,을 그리다,명사,
그립다,思念,가족이,형용사,
그만,夠了,그만 먹다,부사,
그만두다,辭掉,학교를,동사,
그분,那位,을 만나다,대명사,
그저께,前天,그저께 밤,부사/명사,
그쪽,那邊,으로 가다,대명사,
그치다,停止,비가,동사,
극장,劇院,에서 상영하다,명사,
근처,近處,집 근처,명사,
글,文章,을 쓰다,명사,
글쎄,嗯，不知道,"글쎄, 잘 몰라요",감탄사,
글쎄요,這個嘛,글쎄요. 몰라요.,감탄사,
글씨,手寫字,를 쓰다,명사,
글자,字符,를 쓰다,명사,
금방,馬上,방금,부사,
금요일,星期五,요일,명사,
금지,禁止,통행 금지,명사,
급하다,緊急,사정이,형용사,
기간,期間,이 지나다,명사,
기다리다,等待,버스를,동사,
기르다,養,개를,동사,
기름,油,에 튀기다,명사,
기말시험,期末考試,을 보다,명사,
기분,心情,이 좋다,명사,
기뻐하다,歡喜,졸업을,동사,
기쁘다,高興,마음이,형용사,
기쁨,喜悅,을 나누다,명사,
기숙사,宿舍,에서 살다,명사,
기억,記得,이 나다,명사,
기억나다,記住,이름이,동사,
기온,氣溫,이 높다,명사,
기자,記者,신문 기자,명사,
기차,火車,를 타다,명사,
기차역,火車站,에 도착하다,명사,
기차표,火車票,를 끊다,명사,
기침,咳嗽,이 나다,명사,
기타,吉他,를 치다,명사,
기회,機會,를 놓치다,명사,
긴장,緊張,을 풀다,명사,
길,路,이 막히다,명사,
길다,長,다리가,형용사,
길이,長度,를 재다,명사,
김,紫菜,을 먹다,명사,
김밥,紫菜包飯,을 싸다,명사,
김치,辛奇,를 담그다,명사,
김치찌개,泡菜湯,를 끓이다,명사,
깊다,深,바다가,형용사,
깊이,深入,깊이 묻다,부사,
까만색,黑色,색깔,명사,
까맣다,漆黑的,밤하늘이,형용사,
깎다,削,사과를,동사,
깜짝,猛地,깜짝 놀라다,부사,
깨끗이,乾淨地,깨끗이 씻다,부사,
깨끗하다,乾淨,옷이 ,형용사,
깨다,醒來,잠이,동사,
꺼내다,取出,가방에서,동사,
껌,口香糖,을 씹다,명사,
꼭,務必,꼭 필요하다,부사,
꽃,花,이 피다,명사,
꽃다발,花束,을 선물하다,명사,
꽃병,花瓶,을 깨뜨리다,명사,
꽃집,花店,을 열다,명사,
꾸다,做夢,꿈을,동사,
꿈,夢,을 꾸다,명사,
끄다,熄滅,불을,동사,
끊다,戒,담배를,동사,
끓다,煮,물이,동사,
끓이다,煮沸,물을,동사,
끝,結束,시작,명사,
끝나다,結束,수업이,동사,
끝내다,完成,일을,동사,
끼다,戴,반지를,동사,
나,我,나와 너,대명사/명사,
나가다,出去,밖으로,동사,
나누다,分開,둘로,동사,
나다,出,수염이,동사,
나라,國家,우리 나라,명사,
나머지,剩錢,나머지 돈,명사,
나무,樹,를 심다,명사,
나쁘다,壞,공기가,형용사,
나오다,出來,밖에,동사,
나이,年齡,가 많다,명사,
나중,之後,에 깨닫다,명사,
나타나다,出現,건물이,동사,
나흘,四天,이 걸리다,명사,
낚시,釣魚,를 가다,명사,
날,日,마지막 날,명사/의존명사,
날다,飛,새가,동사,
날씨,天氣,가 좋다,명사,
날씬하다,苗條,몸매가,형용사,
날아다니다,飛,나비가,동사,
날짜,日期,를 정하다,명사,
남,男,타인,명사,
남기다,剩下,음식을,동사,
남녀,男女,남녀 평등,명사,
남다,剩下,시간이,동사,
남대문,南大門,고적,명사,
남동생,弟弟,을 돌보다,명사,
남산,南山,지명,명사,
남성,男性,여성,명사,
남자,男人,여자,명사,
남쪽,南方,북쪽,명사,
남편,丈夫,아내,명사,
남학생,男學生,여학생,명사,
낫다,痊癒,병이,동사,
낫다,更好,더 낫다,형용사,
낮,白天,밤,명사,
낮다,低,산이,형용사,
낮잠,午睡,을 자다,명사,
내,我,내가,대명사,
내과,內科,병원,명사,
내년,明年,내년 여름,명사,
내다,出,문제를,동사,
내려가다,下降,아래로,동사,
내려오다,下來,아래로,동사,
내리다,下,비가,동사,
내용,內容,수업 내용,명사,
내일,明天,로 미루다,명사/부사,
냄비,鍋,에 끓이다,명사,
냄새,氣味,를 맡다,명사,
냉면,冷麵,을 먹다,명사,
냉장고,冰箱,에 넣다,명사,
너,你,나,대명사,
너무,太,너무 심하다,부사,
너희,你們,너희 가족,대명사,
넓다,寬闊,집이,형용사,
넘다,超過,세 시간이,동사,
넘어지다,摔倒,자전거가,동사,
넣다,插入,책을,동사,
네,你,네가,대명사,
네,四,숫자(4),관형사,
네,是的,대답,감탄사,
넥타이,領帶,를 매다,명사,
넷,四,숫자,수사,
넷째,第四,넷째 시간,수사·관형사/명사,
년,年,2015년,의존명사,
노란색,黃色,색깔,명사,
노랗다,黃色,병아리가,형용사,
노래,歌曲,를 부르다,명사,
노래방,卡拉 OK 房,에 가다,명사,
노력,努力,을 하다,명사,
노인,老人,을 공경하다,명사,
노트,筆記,에 쓰다,명사,
녹색,綠色,색깔,명사,
녹차,綠茶,를 마시다,명사,
놀다,玩耍,친구와 놀다,동사,
놀라다,驚訝,깜짝 놀라다,동사,
놀이,玩,인형 놀이,명사,
농구,籃球,농구 경기,명사,
농담,笑話,을 주고받다,명사,
높다,高,산이,형용사,
높이,高度,가 높다,명사,
높이,高,높이 날다,부사,
놓다,放下,펜을,동사,
누구,誰,거기 누구 계세요?,대명사,
누나,姐姐,사촌 누나,명사,
누르다,按,버튼을,동사,
눈,眼睛,이 작다,명사,
눈,雪,날씨,명사,
눈물,眼淚,이 흐르다,명사,
눕다,躺下,바닥에,동사,
뉴스,新聞,를 보다,명사,
느끼다,感到,추위를,동사,
느낌,感覺,이 좋다,명사,
느리다,緩慢,걸음이,형용사,
늘,總是,늘 만나다,부사,
늘다,增加,면적이,동사,
늙다,變老,사람이,동사,
능력,能力,이 있다,명사,
늦다,遲,시계가,형용사/동사,
다,都,모두,부사/명사,
다녀오다,去過回來 ,학교에,동사,
다니다,上班,회사에,동사,
다르다,不同,모양이,형용사,
다른,其他,다른 나라,관형사,
다리,腿,가 길다,명사,
다리,橋,를 건너다,명사,
다림질,熨燙,을 하다,명사,
다섯,五,다섯 개,수사·관형사,
다섯째,第五個,다섯째 사람,수사·관형사/명사,
다시,再,다시 시작하다,부사,
다양,多樣,다양한 방법,명사,
다음,次,다음 날,명사,
다음날,隔天,에 만나다,명사,
다이어트,減肥,에 성공하다,명사,
다치다,受傷,팔을,동사,
다하다,耗盡,기력이,동사,
닦다,擦,구두를,동사,
단순,簡單,단순 노동,명사,
단어,單詞,를 외우다,명사,
단추,鈕扣,가 떨어지다,명사,
단풍,楓葉,이 들다,명사,
닫다,（使）關閉,문을,동사,
달,月,다음 달,명사/의존명사,
달걀,蛋,을 삶다,명사,
달다,甜,맛이,형용사,
달력,日曆,을 걸다,명사,
달리기,飛奔,가 빠르다,명사,
달리다,跑,빨리 달리다,동사,
닭,雞,을 키우다,명사,
닭고기,雞肉,를 볶다,명사,
닮다,像,아빠를,동사,
담배,香煙,를 피우다,명사,
답,答案,이 없다,명사,
답답하다,鬱悶,가슴이,형용사,
답장,回覆,을 보내다,명사,
대,輛,차 한 대,의존명사,
대구,大邱,에 살다,명사,
대답,答覆,을 기다리다,명사,
대부분,大部分,대부분의 시간,명사/부사,
대사관,大使館,미국 대사관,명사,
대전,大田,지명,명사,
대학,大學,에 들어가다,명사,
대학교,大學,에 입학하다,명사,
대학생,大學生,이 되다,명사,
대학원,研究所,을 다니다,명사,
대화,對話,를 나누다,명사,
대회,大會,가 열리다,명사,
댁,府上,선생님 댁,명사/대명사,
더,更,하나 더,부사,
더럽다,髒,손이,형용사,
더욱,更,더욱 좋다,부사,
덕분,託福,부모님 덕분,명사,
던지다,拋,공을,동사,
덥다,熱,날씨가,형용사,
데려가다,帶走,아이를,동사,
데려오다,帶來,친구를,동사,
데이트,約會,를 신청하다,명사,
도,度,영상 일 도,의존명사,
도로,道路,를 건너다,명사,
도서관,圖書館,에서 공부하다,명사,
도시,城市,를 건설하다,명사,
도와주다,幫助,일을,동사,
도움,幫助,을 받다,명사,
도착,抵達,도착 시간,명사,
독서,閱讀,를 하다,명사,
독일,德國,나라,명사,
돈,錢,을 벌다,명사,
돈가스,炸豬排,를 먹다,명사,
돌,石頭,을 던지다,명사,
돌다,轉動,바퀴가,동사,
돌려주다,歸還,책을,동사,
돌리다,轉動,바퀴를,동사,
돌아가다,回到,바퀴가,동사,
돌아오다,回來,학교에서,동사,
돕다,幫助,아버지를,동사,
동네,社區,동네 사람,명사,
동대문,東大門,고적,명사,
동물,動物,을 키우다,명사,
동물원,動物園,에 가다,명사,
동생,弟弟/妹妹,이 태어나다,명사,
동시,同時,에 일어나다,명사,
동안,期間,며칠 동안,명사,
동전,硬幣,백 원짜리 동전,명사,
동쪽,東方,방향,명사,
돼지,豬,를 기르다,명사,
돼지고기,豬肉,를 먹다,명사,
되다,成為,배우가,동사,
-되다,化,취소되다,접사,
된장,大醬,에 찍다,명사,
